scenario,seed,vehicle_id,duration_s,time_loss_s,waiting_time_s,depart_delay_s,route_length_m,co2_mg,nox_mg,fuel_mg
baseline,5,north_to_south_12.45,101.0,19.16,2.0,0.96,994.9,231465.669778,89.302226,73827.698463
baseline,5,north_to_south_12.51,84.0,4.7,0.0,0.49,994.9,172855.687164,61.780314,55133.547243
baseline,5,north_to_south_12.48,95.0,19.9,0.0,0.22,994.9,228578.150303,88.147117,72906.563432
baseline,5,north_to_south_12.49,92.0,15.6,0.0,0.31,994.9,224512.427139,87.703658,71609.409566
baseline,5,south_to_north_13.30,76.0,3.66,0.0,0.18,994.9,166475.604571,57.084237,53098.530041
baseline,5,north_to_south_12.53,83.0,4.05,0.0,0.66,994.9,178150.941302,63.305838,56822.496055
baseline,5,north_to_south_12.55,78.0,4.07,0.0,0.84,994.9,169881.068461,60.896028,54184.565682
baseline,5,north_to_south_12.56,77.0,4.49,0.0,0.93,994.9,195260.952035,71.336833,62279.471566
baseline,5,south_to_north_13.31,76.0,4.08,0.0,0.89,994.9,169095.884644,60.541255,53934.083983
baseline,5,north_to_south_12.54,84.0,4.71,0.0,0.75,994.9,185868.912916,66.40317,59284.193684
baseline,5,south_to_north_13.29,89.0,5.06,0.0,0.47,994.9,185922.592611,66.825045,59301.458134
baseline,5,east_to_west_14.22,120.0,48.22,38.0,0.43,994.9,296154.760284,117.909686,94462.337848
baseline,5,west_to_east_15.20,121.0,44.72,35.0,0.52,994.9,292818.289633,117.726852,93397.9808
baseline,5,east_to_west_14.24,110.0,38.23,30.0,0.74,994.9,281296.091516,110.536413,89722.613547
baseline,5,east_to_west_14.23,117.0,38.41,29.0,0.59,994.9,281038.889897,111.307983,89640.673096
baseline,5,west_to_east_15.19,130.0,47.48,37.0,0.99,994.9,298077.159701,119.460803,95075.656742
baseline,5,west_to_east_15.22,111.0,32.72,23.0,0.57,994.9,256462.648308,99.450832,81801.711277
baseline,5,east_to_west_14.26,102.0,29.84,19.0,0.06,994.9,264270.709245,104.412547,84291.535845
baseline,5,west_to_east_15.21,120.0,47.88,35.0,0.05,994.9,305848.963961,124.496893,97553.938027
baseline,5,east_to_west_14.27,98.0,25.6,13.0,0.21,994.9,255532.082554,99.71054,81504.050151
baseline,5,east_to_west_14.25,110.0,31.19,20.0,0.9,994.9,257318.225169,98.994068,82074.635275
baseline,5,west_to_east_15.23,109.0,35.83,21.0,0.1,994.9,270894.526164,109.48397,86404.392009
baseline,5,east_to_west_14.28,94.0,22.21,9.0,0.37,994.9,236764.942979,91.070018,75518.102188
baseline,5,east_to_west_14.29,88.0,12.75,1.0,0.52,994.9,207640.418052,80.719079,66228.098912
baseline,5,west_to_east_15.24,103.0,18.99,8.0,0.62,994.9,229258.522441,87.396998,73124.208004
baseline,5,east_to_west_14.30,83.0,11.12,0.0,0.68,994.9,214921.058678,82.457649,68550.045915
baseline,5,west_to_east_15.25,98.0,20.94,8.0,0.15,994.9,253945.504053,99.825162,80997.751064
baseline,5,west_to_east_15.26,92.0,15.84,2.0,0.68,994.9,239526.749802,92.643986,76398.556795
baseline,5,west_to_east_15.27,86.0,8.78,0.0,0.2,994.9,221309.116674,85.130865,70587.61996
baseline,5,east_to_west_14.31,80.0,3.74,0.0,0.84,994.9,167078.0314,58.170232,53290.720823
baseline,5,west_to_east_15.28,80.0,8.21,0.0,0.73,994.9,192811.296429,73.044451,61498.02629
baseline,5,west_to_east_15.29,79.0,4.07,0.0,0.25,994.9,163536.085222,59.507013,52160.740847
baseline,5,east_to_west_14.32,83.0,4.28,0.0,0.99,994.9,181094.332071,64.74529,57761.285614
baseline,5,west_to_east_15.30,76.0,3.52,0.0,0.78,994.9,159771.185291,56.052907,50959.992528
baseline,5,north_to_south_12.57,115.0,42.95,35.0,0.02,994.9,295308.809833,117.504634,94192.218328
baseline,5,north_to_south_12.58,112.0,39.69,32.0,0.1,994.9,291954.048837,115.167346,93122.050437
baseline,5,south_to_north_13.32,112.0,39.43,29.0,0.59,994.9,282810.331515,111.192847,90205.568223
baseline,5,south_to_north_13.33,107.0,34.01,25.0,0.3,994.9,270318.093876,105.942267,86220.807367
baseline,5,north_to_south_12.60,108.0,35.53,26.0,0.28,994.9,278569.962307,109.512542,88852.841767
baseline,5,south_to_north_13.35,97.0,25.32,16.0,0.71,994.9,240831.156783,92.310608,76815.366366
